component_1,component_2,component_3,mental_health_risk_score
-26.133732,-24.564749,6.660646,2
26.462542,22.892618,34.2343,1
-26.133732,-24.564749,6.660646,2
13.287044,0.105691366,2.5647848,2
-49.67158,13.485972,-4.5984797,2
46.698364,28.271128,16.638529,1
13.510323,-40.133003,7.734504,1
2.3822594,49.20695,11.141551,2
-26.133732,-24.564749,6.660646,2
13.287044,0.105691366,2.5647848,2
38.53689,-11.494194,-30.295856,1
-36.795094,31.092793,6.0889745,2
48.26655,-2.1106,21.853392,1
22.513063,3.0752573,-26.93581,1
-36.795094,31.092793,6.0889745,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
13.287044,0.105691366,2.5647848,2
13.510323,-40.133003,7.734504,1
-26.133732,-24.564749,6.660646,2
-8.161119,43.216866,4.822229,2
-23.880009,10.451278,3.0692236,2
-42.18605,25.461243,-6.6614103,2
13.287044,0.105691366,2.5647848,2
18.530912,15.952988,-36.10043,1
-26.133732,-24.564749,6.660646,2
-28.199118,-11.17357,-36.459354,2
20.726921,19.558456,-47.564415,1
13.510323,-40.133003,7.734504,1
-26.133732,-24.564749,6.660646,2
43.710392,18.041082,-4.78815,1
-26.133732,-24.564749,6.660646,2
13.287044,0.105691366,2.5647848,2
34.514595,-13.571736,19.115757,1
-0.79826695,-8.402911,-51.481483,1
18.530912,15.952988,-36.10043,1
13.510323,-40.133003,7.734504,1
-25.609005,14.79639,34.214603,2
42.92052,-33.56714,15.482127,1
13.287044,0.105691366,2.5647848,2
-42.18605,25.461243,-6.6614103,2
13.287044,0.105691366,2.5647848,2
13.287044,0.105691366,2.5647848,2
-26.133732,-24.564749,6.660646,2
-6.397885,47.202145,-7.997182,2
13.287044,0.105691366,2.5647848,2
-26.133732,-24.564749,6.660646,2
4.892697,12.092658,7.9654965,2
-13.930829,27.78151,-36.682507,2
-26.133732,-24.564749,6.660646,2
4.892697,12.092658,7.9654965,2
4.892697,12.092658,7.9654965,2
50.113647,-6.3235383,-1.6766257,1
-42.18605,25.461243,-6.6614103,2
23.59149,47.083702,-4.801998,2
49.391373,11.4442215,1.0283697,1
4.892697,12.092658,7.9654965,2
-13.930829,27.78151,-36.682507,2
-26.133732,-24.564749,6.660646,2
20.436049,37.90276,-25.18052,2
-26.133732,-24.564749,6.660646,2
-37.983677,15.663981,5.007238,2
4.892697,12.092658,7.9654965,2
4.892697,12.092658,7.9654965,2
4.892697,12.092658,7.9654965,2
-1.1496735,-18.68093,-23.688467,1
20.436049,37.90276,-25.18052,2
-27.026566,23.867802,-2.7671607,2
13.510323,-40.133003,7.734504,1
4.892697,12.092658,7.9654965,2
-13.930829,27.78151,-36.682507,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
40.001083,-7.985686,37.542393,1
-26.133732,-24.564749,6.660646,2
4.892697,12.092658,7.9654965,2
-3.4350197,-42.50152,-29.096657,1
-26.133732,-24.564749,6.660646,2
38.694794,8.894181,-1.7794497,1
-27.026566,23.867802,-2.7671607,2
-2.197107,-22.346548,-34.28578,1
4.892697,12.092658,7.9654965,2
13.510323,-40.133003,7.734504,1
4.892697,12.092658,7.9654965,2
-37.983677,15.663981,5.007238,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
4.892697,12.092658,7.9654965,2
