tsne_component_1,tsne_component_2,tsne_component_3
-26.133732,-24.564749,6.660646
26.462542,22.892618,34.2343
-26.133732,-24.564749,6.660646
13.287044,0.105691366,2.5647848
-49.67158,13.485972,-4.5984797
46.698364,28.271128,16.638529
13.510323,-40.133003,7.734504
2.3822594,49.20695,11.141551
-26.133732,-24.564749,6.660646
13.287044,0.105691366,2.5647848
38.53689,-11.494194,-30.295856
-36.795094,31.092793,6.0889745
48.26655,-2.1106,21.853392
22.513063,3.0752573,-26.93581
-36.795094,31.092793,6.0889745
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
13.287044,0.105691366,2.5647848
13.510323,-40.133003,7.734504
-26.133732,-24.564749,6.660646
-8.161119,43.216866,4.822229
-23.880009,10.451278,3.0692236
-42.18605,25.461243,-6.6614103
13.287044,0.105691366,2.5647848
18.530912,15.952988,-36.10043
-26.133732,-24.564749,6.660646
-28.199118,-11.17357,-36.459354
20.726921,19.558456,-47.564415
13.510323,-40.133003,7.734504
-26.133732,-24.564749,6.660646
43.710392,18.041082,-4.78815
-26.133732,-24.564749,6.660646
13.287044,0.105691366,2.5647848
34.514595,-13.571736,19.115757
-0.79826695,-8.402911,-51.481483
18.530912,15.952988,-36.10043
13.510323,-40.133003,7.734504
-25.609005,14.79639,34.214603
42.92052,-33.56714,15.482127
13.287044,0.105691366,2.5647848
-42.18605,25.461243,-6.6614103
13.287044,0.105691366,2.5647848
13.287044,0.105691366,2.5647848
-26.133732,-24.564749,6.660646
-6.397885,47.202145,-7.997182
13.287044,0.105691366,2.5647848
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
-13.930829,27.78151,-36.682507
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
50.113647,-6.3235383,-1.6766257
-42.18605,25.461243,-6.6614103
23.59149,47.083702,-4.801998
49.391373,11.4442215,1.0283697
4.892697,12.092658,7.9654965
-13.930829,27.78151,-36.682507
-26.133732,-24.564749,6.660646
20.436049,37.90276,-25.18052
-26.133732,-24.564749,6.660646
-37.983677,15.663981,5.007238
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
-1.1496735,-18.68093,-23.688467
20.436049,37.90276,-25.18052
-27.026566,23.867802,-2.7671607
13.510323,-40.133003,7.734504
4.892697,12.092658,7.9654965
-13.930829,27.78151,-36.682507
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
40.001083,-7.985686,37.542393
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
-3.4350197,-42.50152,-29.096657
-26.133732,-24.564749,6.660646
38.694794,8.894181,-1.7794497
-27.026566,23.867802,-2.7671607
-2.197107,-22.346548,-34.28578
4.892697,12.092658,7.9654965
13.510323,-40.133003,7.734504
4.892697,12.092658,7.9654965
-37.983677,15.663981,5.007238
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
12.590114,16.223066,-42.813236
-26.133732,-24.564749,6.660646
-6.397885,47.202145,-7.997182
43.35147,-33.237682,-8.812953
0.7612228,-53.239273,-1.4982332
-26.133732,-24.564749,6.660646
-13.930829,27.78151,-36.682507
-28.199118,-11.17357,-36.459354
-5.0937996,2.8031194,-55.63791
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
-37.983677,15.663981,5.007238
-1.00138,-2.3379562,54.238197
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
-2.197107,-22.346548,-34.28578
4.892697,12.092658,7.9654965
-42.18605,25.461243,-6.6614103
-8.161119,43.216866,4.822229
40.022186,-22.958813,21.902735
4.892697,12.092658,7.9654965
-26.133732,-24.564749,6.660646
38.53689,-11.494194,-30.295856
-37.983677,15.663981,5.007238
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
-0.5368914,54.364735,0.96557003
-26.133732,-24.564749,6.660646
38.53689,-11.494194,-30.295856
-28.199118,-11.17357,-36.459354
-37.983677,15.663981,5.007238
-26.133732,-24.564749,6.660646
41.09121,15.158702,6.2391706
8.661099,25.122698,16.041943
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
-25.609005,14.79639,34.214603
4.892697,12.092658,7.9654965
-1.00138,-2.3379562,54.238197
40.022186,-22.958813,21.902735
-26.133732,-24.564749,6.660646
-37.983677,15.663981,5.007238
-1.00138,-2.3379562,54.238197
21.92769,41.108154,9.636502
43.35147,-33.237682,-8.812953
-37.983677,15.663981,5.007238
3.933923,8.097694,-55.359158
-26.133732,-24.564749,6.660646
-49.26821,26.074997,6.0307384
20.436049,37.90276,-25.18052
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
35.295795,-10.223683,-0.74688673
-26.133732,-24.564749,6.660646
35.295795,-10.223683,-0.74688673
4.892697,12.092658,7.9654965
9.552733,-3.2356732,-51.042213
52.913376,-11.409887,19.806757
13.510323,-40.133003,7.734504
-2.197107,-22.346548,-34.28578
39.78682,25.971924,3.5139503
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
-42.18605,25.461243,-6.6614103
4.892697,12.092658,7.9654965
-18.636286,22.73959,35.291264
4.892697,12.092658,7.9654965
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
-37.983677,15.663981,5.007238
41.09121,15.158702,6.2391706
40.001083,-7.985686,37.542393
-6.397885,47.202145,-7.997182
38.53689,-11.494194,-30.295856
20.436049,37.90276,-25.18052
33.642105,-30.436527,-5.789148
-1.00138,-2.3379562,54.238197
-0.5368914,54.364735,0.96557003
4.892697,12.092658,7.9654965
-6.397885,47.202145,-7.997182
-26.133732,-24.564749,6.660646
-1.00138,-2.3379562,54.238197
-26.133732,-24.564749,6.660646
-6.397885,47.202145,-7.997182
-1.00138,-2.3379562,54.238197
-37.983677,15.663981,5.007238
-27.026566,23.867802,-2.7671607
-21.535,-0.37779474,-36.919193
43.35147,-33.237682,-8.812953
43.621002,-12.16751,26.817259
33.642105,-30.436527,-5.789148
13.510323,-40.133003,7.734504
33.642105,-30.436527,-5.789148
-26.133732,-24.564749,6.660646
42.99748,-0.5558126,30.739922
-26.133732,-24.564749,6.660646
38.53689,-11.494194,-30.295856
41.09121,15.158702,6.2391706
50.22373,-20.719255,21.246933
-42.18605,25.461243,-6.6614103
43.710392,18.041082,-4.78815
4.892697,12.092658,7.9654965
-28.199118,-11.17357,-36.459354
4.892697,12.092658,7.9654965
4.892697,12.092658,7.9654965
-1.00138,-2.3379562,54.238197
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
38.53689,-11.494194,-30.295856
-8.161119,43.216866,4.822229
50.113647,-6.3235383,-1.6766257
-26.133732,-24.564749,6.660646
13.510323,-40.133003,7.734504
24.458338,11.853305,-43.615055
18.813646,-18.844427,-9.4552555
-3.4350197,-42.50152,-29.096657
-25.609005,14.79639,34.214603
-26.133732,-24.564749,6.660646
-26.133732,-24.564749,6.660646
-9.673729,42.87815,-27.424109
-3.4350197,-42.50152,-29.096657
43.621002,-12.16751,26.817259
4.892697,12.092658,7.9654965
-26.133732,-24.564749,6.660646
13.510323,-40.133003,7.734504
13.510323,-40.133003,7.734504
-26.133732,-24.564749,6.660646
-3.4350197,-42.50152,-29.096657
-21.535,-0.37779474,-36.919193
-26.133732,-24.564749,6.660646
30.01485,-23.337833,22.044363
43.621002,-12.16751,26.817259
-26.133732,-24.564749,6.660646
0.08241441,-31.439623,38.375637
43.621002,-12.16751,26.817259
43.621002,-12.16751,26.817259
-2.197107,-22.346548,-34.28578
13.510323,-40.133003,7.734504
4.892697,12.092658,7.9654965
24.458338,11.853305,-43.615055
-18.636286,22.73959,35.291264
38.53689,-11.494194,-30.295856
3.933923,8.097694,-55.359158
36.2853,-16.23601,41.720066
20.436049,37.90276,-25.18052
49.883884,21.757074,3.2202182
4.892697,12.092658,7.9654965
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
-26.133732,-24.564749,6.660646
34.856632,-36.59988,-14.451145
-26.133732,-24.564749,6.660646
4.892697,12.092658,7.9654965
-21.535,-0.37779474,-36.919193
4.892697,12.092658,7.9654965
-26.133732,-24.564749,6.660646
26.462542,22.892618,34.2343
13.510323,-40.133003,7.734504
-26.133732,-24.564749,6.660646
-19.178944,49.52734,9.624614
20.436049,37.90276,-25.18052
24.458338,11.853305,-43.615055
38.53689,-11.494194,-30.295856
24.458338,11.853305,-43.615055
4.892697,12.092658,7.9654965
-18.636286,22.73959,35.291264
38.49712,11.96628,-28.432697
33.919384,-18.150352,31.040966
-27.026566,23.867802,-2.7671607
33.071167,17.889635,-1.2510316
41.09121,15.158702,6.2391706
20.436049,37.90276,-25.18052
44.435905,9.536886,-24.387337
21.92769,41.108154,9.636502
20.436049,37.90276,-25.18052
-26.133732,-24.564749,6.660646
-19.178944,49.52734,9.624614
43.710392,18.041082,-4.78815
-2.197107,-22.346548,-34.28578
-8.161119,43.216866,4.822229
12.460833,-34.56703,-32.419212
38.53689,-11.494194,-30.295856
38.53689,-11.494194,-30.295856
18.530912,15.952988,-36.10043
4.892697,12.092658,7.9654965
-37.983677,15.663981,5.007238
-0.79826695,-8.402911,-51.481483
-13.930829,27.78151,-36.682507
