umap_component_1,umap_component_2,umap_component_3,mental_health_risk_score
-1.5877692,0.2689174,-13.67395,2
9.515021,4.0071006,-5.0450115,1
-1.4301152,0.53163004,-13.539137,2
-4.5973773,5.668617,8.702992,2
1.8910418,-16.070663,1.2890832,2
17.051727,-1.3027021,17.25103,1
11.21117,18.713404,13.547135,1
-2.9760017,11.3749,22.533691,2
-1.5142237,0.40623128,-13.483979,2
-4.732112,5.6718717,8.762348,2
14.475404,-0.34913546,9.173505,1
2.0339258,-16.04405,1.1729757,2
19.884687,-4.6529818,8.205098,1
8.827387,1.6316612,5.4859943,1
1.8356593,-16.186377,1.355785,2
-1.6533729,0.4235628,-13.5229435,2
-1.5527043,0.32204476,-13.640109,2
-1.590022,0.44605395,-13.454427,2
-4.7512364,5.640105,8.657007,2
11.174327,18.75511,13.538638,1
-1.5507759,0.4291548,-13.54688,2
-3.126765,11.447945,22.64625,2
1.8532758,-15.960767,1.3257885,2
1.9359672,-16.19262,1.2610769,2
-4.8104215,5.484907,8.808224,2
10.857398,-8.962076,2.412775,1
-1.5677748,0.4609313,-13.577336,2
-14.628214,-7.7926574,-3.550127,2
11.2046,-5.1832976,9.878123,1
11.263864,18.736664,13.486193,1
-1.5198284,0.3517634,-13.519756,2
16.997564,-1.7724259,17.531603,1
-1.5889782,0.28577977,-13.425219,2
-4.7885156,5.685706,8.754381,2
19.837101,-4.6929607,8.153085,1
18.537472,-7.6648445,-4.5997906,1
10.85743,-8.962076,2.4127724,1
11.251942,18.797253,13.517829,1
-4.7117705,14.287706,-0.060084585,2
20.367317,-4.2358537,7.430327,1
-4.717021,5.6322837,8.745886,2
1.8110436,-16.16065,1.1345872,2
-4.624286,5.3854146,8.9347725,2
-4.7411027,5.592909,8.819913,2
-1.4951552,0.43099424,-13.459349,2
-3.069443,11.524815,22.602942,2
-4.7556353,5.3242507,8.747776,2
-1.466038,0.28649327,-13.4358015,2
-4.6870956,5.589306,8.746357,2
-10.538865,-6.7856183,12.796121,2
-1.4648308,0.6187088,-13.517173,2
-4.733879,5.6005692,8.781548,2
-4.775254,5.5612383,8.737086,2
16.067621,7.0758066,3.522587,1
1.9815637,-15.964092,1.2242349,2
6.463604,2.2841194,13.561417,2
16.984333,-1.8625666,17.549864,1
-4.5496845,5.671256,8.609664,2
-10.525963,-6.772717,12.7832155,2
-1.4973377,0.2920467,-13.423604,2
2.3187308,-5.6866994,26.125174,2
-1.4386836,0.50889957,-13.531834,2
2.0145671,-16.031563,1.2549529,2
